,cmt,0
0,"đây là lần đầu tiên mình mua son và cũng liều thử mua son trên mạng. thấy son rất là ok, lên màu khá là đẹp, nhưng mà không lì lắm ☹️","['độ bền', 'Màu sắc']"
1,"Son kem khá lì, nếu trôi gần hết vẫn để lại base hồng. Thiết kế son kem đơn giản nhưng đẹp. Về chất thì không bị bột và nặng môi như 1 số dòng khác, chất mỏng và mịn, tô không để lộ rãnh môi mà nó tiệp vào môi như kiểu dùng kem nền zi. Màu lên đậm nên chắc chỉ cần tô 1 lần đầu là đủ","['kết cấu', 'độ bền', 'Màu sắc']"
2,"Màu lên đẹp và sắc nét, chất mỏng mướt k bị khô môi. Lì nhà, mình dùng nước tt tâỷ mãi mới ra hết. Khá chim ưng khi tìm được thỏi son ưng ý","['kết cấu', 'độ bền', 'Màu sắc']"
3,"Đề cử nha. Mua đợt sale nên có 70k thui, mình chọn màu 1.5, rất hợp vs da mình. Ship cực nhanh. Độ che phủ 80%, mình che được vết thâm mụn, quầng thâm mắt, vết tàn nhang. Còn nốt ruồi, vết mụn to thì ko che được nha. Mình dưỡng da xong, dùng che khuyết điểm xong đến kcn (cũng dùng The Seam luôn, cực ổn, độ kiềm dầu cực tốt) xong r phủ phấn lên, che được những cái mình muốn che nha. (Cái này là mìn chỉ dùng kcn thôi chứ chưa có lớp kem nền đó nha). Mỗi tội mình thấy độ bám ko đc ổn lắm. Nói chung chất lượng so với giá tiền như thế + thêm chế độc phục vụ khách hàng của tiki, mình chấm 5 sao.","['vận chuyển', 'giá', 'dịch vụ', 'độ bền', 'Màu sắc']"
4,"màu đẹp, rất là lì mùi không thơm lắm, đóng gói đẹp kĩ","['đóng gói', 'mùi hương', 'độ bền', 'Màu sắc']"
5,"Son bóng mình khá ưng, màu ko bị sến, set lại trên môi vẫn bóng nhưng có chút lì, người bán giao hàng nhanh","['vận chuyển', 'độ bền', 'Màu sắc']"
6,"KHOÁC MÀU ÁO TÍM SÌM SIM, TRẨY HỘI TẾT MEOW LUNG LINH 😽

💜 Chống nắng toàn diện với chỉ số SPF50+, PA++++ giúp bảo vệ da khỏi các tác  động của tia UVA & UVB
💜 Hiệu chỉnh da vàng, che phủ tự nhiên, sáng bừng và hồng hào
💜 Ánh tím lavender cùng tinh chất ngọc trai tinh khôi tạo hiệu ứng trong suốt 3D, nâng tone tự nhiên, cho da bắt sáng lấp lánh
💜 Chiết xuất từ Vitamin C và B3 hỗ trợ kiềm dầu, làm dịu da và dưỡng da sáng mịn","['độ bền', 'Màu sắc']"
7,"Lần đầu mua mỹ phẩm bên Tiki lại có ấn tượng rất tốt bên đây, đóng gói hàng có giấy bao bên ngoài mặc dù khong phải giấy bong bóng nhưng vẫn rất an toàn. Em đặt cùng lọ nước tẩy trang rất sợ bị đổ ra ngoài nhưng vẫn không sao hết. Về review chống nắng thì mặc dù lần đầu mua ở Tiki nhưng em đã dùng đến lọ thứ 2 rồi. texture của sản phẩm là dạng sữa lỏng thấm khá nhanh, bôi lên có 1 lớp màu trắng nhẹ nhẹ nhưng không phải bị trắng như kem chống nắng vật lí, tầm 1-2' là hết ngay thôi, sản phẩm này làm lớp lót khá tốt, lại kiềm dầu rất ổn nữa","['đóng gói', 'kết cấu', 'độ bền', 'Màu sắc']"
8,"kcn kiềm dầu tốt,thấm nhanh,không nhờn rít, nhẹ mặt,tệp màu da,cực kỳ dễ tán,mùi thơm nhẹ dễ chịu, không để lại vệt trắng, đã tìm đc chân ái cho da siêu dầu như m. M sẽ mua lại full size. Tuy nhiên nên dùng sau bước dưỡng da, cuối ngày rửa sạch kcn để da không bị khô là OK.","['mùi hương', 'kết cấu', 'độ bền', 'Màu sắc']"
9,"đối với mình thì nó khá ổn, độ kiềm dầu ở mức trung bình, không trắng bệch nhiều chất kem có màu giống kem nền á cái mùi cũng na ná dị luôn","['mùi hương', 'độ bền', 'Màu sắc']"
10,"Giao hàng nhanh, đóng gói tốt, đúng mẫu.
Mịn, tuy nhiên độ lì mình thấy không quá ""siêu"" nhưng vẫn còn bám lại lớp tint mờ khá ổn.","['vận chuyển', 'đóng gói', 'dịch vụ', 'độ bền']"
11,"thích nhất là mùi húng quế tây thoang thoảng dễ chịu. son dưỡng ẩm tốt, không có bị bóng dầu như mấy loại khác.","['mùi hương', 'độ bền']"
12,"packing xinh , lạ , sang , chất son okla . lì .k bị khô môi.","['đóng gói', 'kết cấu', 'độ bền']"
