cmt,correct,name,vận chuyển,giá,đóng gói,dịch vụ,mùi hương,kết cấu,độ bền,Màu sắc,,,,,,,,,,,,,,,
"đây là lần đầu tiên mình mua son và cũng liều thử mua son trên mạng. thấy son rất là ok, lên màu khá là đẹp, nhưng mà không lì lắm ☹️","đây là lần đầu tiên mình mua son và cũng liều thử mua son trên mạng. thấy son rất là ok, lên màu khá là đẹp, nhưng mà không lì lắm ☹️","Son Kem Siêu Lì, Mịn Môi 3CE Cloud Lip Tint",0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,
"Son kem khá lì, nếu trôi gần hết vẫn để lại base hồng. Thiết kế son kem đơn giản nhưng đẹp. Về chất thì không bị bột và nặng môi như 1 số dòng khác, chất mỏng và mịn, tô không để lộ rãnh môi mà nó tiệp vào môi như kiểu dùng kem nền zi. Màu lên đậm nên chắc chỉ cần tô 1 lần đầu là đủ","Son kem khá lì, nếu trôi gần hết vẫn để lại base hồng. Thiết kế son kem đơn giản nhưng đẹp. Về chất thì không bị bột và nặng môi như 1 số dòng khác, chất mỏng và mịn, tô không để lộ rãnh môi mà nó tiệp vào môi như kiểu dùng kem nền zi. Màu lên đậm nên chắc chỉ cần tô 1 lần đầu là đủ",Son Kem Lì Mỏng Nhẹ Mềm Môi Belips Sexy Lipstick 100% thiên nhiên,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,
"Màu lên đẹp và sắc nét, chất mỏng mướt k bị khô môi. Lì nhà, mình dùng nước tt tâỷ mãi mới ra hết. Khá chim ưng khi tìm được thỏi son ưng ý","Màu lên đẹp và sắc nét, chất mỏng mướt k bị khô môi. Lì nhà, mình dùng nước tt tâỷ mãi mới ra hết. Khá chim ưng khi tìm được thỏi son ưng ý",Son Kem Lì Mỏng Nhẹ Mềm Môi Belips Sexy Lipstick 100% thiên nhiên,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,
"Đề cử nha. Mua đợt sale nên có 70k thui, mình chọn màu 1.5, rất hợp vs da mình. Ship cực nhanh. Độ che phủ 80%, mình che được vết thâm mụn, quầng thâm mắt, vết tàn nhang. Còn nốt ruồi, vết mụn to thì ko che được nha. Mình dưỡng da xong, dùng che khuyết điểm xong đến kcn (cũng dùng The Seam luôn, cực ổn, độ kiềm dầu cực tốt) xong r phủ phấn lên, che được những cái mình muốn che nha. (Cái này là mìn chỉ dùng kcn thôi chứ chưa có lớp kem nền đó nha). Mỗi tội mình thấy độ bám ko đc ổn lắm. Nói chung chất lượng so với giá tiền như thế + thêm chế độc phục vụ khách hàng của tiki, mình chấm 5 sao.","Đề cử nha. Mua đợt sale nên có 70k thui, mình chọn màu 1.5, rất hợp vs da mình. Ship cực nhanh. Độ che phủ 80%, mình che được vết thâm mụn, quầng thâm mắt, vết tàn nhang. Còn nốt ruồi, vết mụn to thì ko che được nha. Mình dưỡng da xong, dùng che khuyết điểm xong đến kcn (cũng dùng The Seam luôn, cực ổn, độ kiềm dầu cực tốt) xong r phủ phấn lên, che được những cái mình muốn che nha. (Cái này là mình chỉ dùng kcn thôi chứ chưa có lớp kem nền đó nha). Mỗi tội mình thấy độ bám ko đc ổn lắm. Nói chung chất lượng so với giá tiền như thế + thêm chế độ phục vụ khách hàng của tiki, mình chấm 5 sao.",Kem Che Khuyết Điểm The Saem Cover PerfectionTip Concealer (6.5g),1,1,0,1,0,0,1,1,,,,,,,,,,,,,,,
"màu đẹp, rất là lì mùi không thơm lắm, đóng gói đẹp kĩ","màu đẹp, rất là lì mùi không thơm lắm, đóng gói đẹp kỹ",Son Bbia Glow Lip Tint 3.2g ( 5 Màu ),0,0,1,0,1,0,1,1,,,,,,,,,,,,,,,
"Son bóng mình khá ưng, màu ko bị sến, set lại trên môi vẫn bóng nhưng có chút lì, người bán giao hàng nhanh","Son bóng mình khá ưng, màu ko bị sến, set lại trên môi vẫn bóng nhưng có chút lì, người bán giao hàng nhanh",Son Bbia Glow Lip Tint 3.2g ( 5 Màu ),1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,
"KHOÁC MÀU ÁO TÍM SÌM SIM, TRẨY HỘI TẾT MEOW LUNG LINH 😽

💜 Chống nắng toàn diện với chỉ số SPF50+, PA++++ giúp bảo vệ da khỏi các tác  động của tia UVA & UVB
💜 Hiệu chỉnh da vàng, che phủ tự nhiên, sáng bừng và hồng hào
💜 Ánh tím lavender cùng tinh chất ngọc trai tinh khôi tạo hiệu ứng trong suốt 3D, nâng tone tự nhiên, cho da bắt sáng lấp lánh
💜 Chiết xuất từ Vitamin C và B3 hỗ trợ kiềm dầu, làm dịu da và dưỡng da sáng mịn","KHOÁC MÀU ÁO TÍM SÌM SIM, TRẨY HỘI TẾT MEOW LUNG LINH 😽

💜 Chống nắng toàn diện với chỉ số SPF50+, PA++++ giúp bảo vệ da khỏi các tác động của tia UVA & UVB
💜 Hiệu chỉnh da vàng, che phủ tự nhiên, sáng bừng và hồng hào
💜 Ánh tím lavender cùng tinh chất ngọc trai tinh khôi tạo hiệu ứng trong suốt 3D, nâng tone tự nhiên, cho da bắt sáng lấp lánh
💜 Chiết xuất từ Vitamin C và B3 hỗ trợ kiềm dầu, làm dịu da và dưỡng da sáng mịn",Sữa chống nắng nâng tông dành cho da dầu/hỗn hợp Sunplay Skin Aqua Tone Up UV Milk Lavender SPF50+ PA++++ (50g),0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,
"Lần đầu mua mỹ phẩm bên Tiki lại có ấn tượng rất tốt bên đây, đóng gói hàng có giấy bao bên ngoài mặc dù khong phải giấy bong bóng nhưng vẫn rất an toàn. Em đặt cùng lọ nước tẩy trang rất sợ bị đổ ra ngoài nhưng vẫn không sao hết. Về review chống nắng thì mặc dù lần đầu mua ở Tiki nhưng em đã dùng đến lọ thứ 2 rồi. texture của sản phẩm là dạng sữa lỏng thấm khá nhanh, bôi lên có 1 lớp màu trắng nhẹ nhẹ nhưng không phải bị trắng như kem chống nắng vật lí, tầm 1-2' là hết ngay thôi, sản phẩm này làm lớp lót khá tốt, lại kiềm dầu rất ổn nữa","Lần đầu mua mỹ phẩm bên Tiki lại có ấn tượng rất tốt bên đây, đóng gói hàng có giấy bao bên ngoài mặc dù không phải giấy bong bóng nhưng vẫn rất an toàn. Em đặt cùng lọ nước tẩy trang rất sợ bị đổ ra ngoài nhưng vẫn không sao hết. Về review chống nắng thì mặc dù lần đầu mua ở Tiki nhưng em đã dùng đến lọ thứ 2 rồi. texture của sản phẩm là dạng sữa lỏng thấm khá nhanh, bôi lên có 1 lớp màu trắng nhẹ nhẹ nhưng không phải bị trắng như kem chống nắng vật lí, tầm 1-2' là hết ngay thôi, sản phẩm này làm lớp lót khá tốt, lại kiềm dầu rất ổn nữa","Sữa Chống Nắng Hằng Ngày Dưỡng Trắng Sunplay Skin Aqua Clear White SPF 50+, PA++++ (25g)",0,0,1,0,0,1,1,1,,,,,,,,,,,,,,,
"kcn kiềm dầu tốt,thấm nhanh,không nhờn rít, nhẹ mặt,tệp màu da,cực kỳ dễ tán,mùi thơm nhẹ dễ chịu, không để lại vệt trắng, đã tìm đc chân ái cho da siêu dầu như m. M sẽ mua lại full size. Tuy nhiên nên dùng sau bước dưỡng da, cuối ngày rửa sạch kcn để da không bị khô là OK.","kcn kiềm dầu tốt,thấm nhanh,không nhờn rít, nhẹ mặt,tệp màu da,cực kỳ dễ tán,mùi thơm nhẹ dễ chịu, không để lại vệt trắng, đã tìm đc chân ái cho da siêu dầu như m. M sẽ mua lại full size. Tuy nhiên nên dùng sau bước dưỡng da, cuối ngày rửa sạch kcn để da không bị khô là OK.",Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 20ml,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,
"đối với mình thì nó khá ổn, độ kiềm dầu ở mức trung bình, không trắng bệch nhiều chất kem có màu giống kem nền á cái mùi cũng na ná dị luôn","đối với mình thì nó khá ổn, độ kiềm dầu ở mức trung bình, không trắng bệch nhiều chất kem có màu giống kem nền á cái mùi cũng na ná dị luôn",Kem chống nắng Skin1004 Madagascar Centella Air-fit Suncream Plus 50ml,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,
